symbol,asof_ts,score,p_win,entry_px,sl_px,tp_px,atr,adtv_20,rank
SOLARINDS,2026-09-02 14:15:00+05:30,0.9260604212907412,0.9260604212907412,20610.0,20237.873330747865,21354.25333850427,186.06333462606779,,1
DATAPATTNS,2026-09-02 14:15:00+05:30,0.8573532104621908,0.8573532104621908,4518.8,4422.9826236362605,4710.4347527274795,47.90868818186983,,2
DIVISLAB,2026-09-02 14:15:00+05:30,0.8279222435934095,0.8279222435934095,9270.0,9135.291621091217,9539.416757817564,67.35418945439099,,3
DIXON,2026-09-02 14:15:00+05:30,0.7817739343256674,0.7817739343256674,14584.0,14373.298563431403,15005.402873137196,105.35071828429905,,4
KALYANKJIL,2026-09-02 14:15:00+05:30,0.7661727898386953,0.7661727898386953,589.1,569.6838437892246,627.9323124215508,9.708078105387699,,5
TITAN,2026-09-02 14:15:00+05:30,0.7568656374860642,0.7568656374860642,5055.0,4985.959038430966,5193.081923138069,34.520480784517225,,6
MEESHO,2026-09-02 14:15:00+05:30,0.7362099833456854,0.7362099833456854,211.16,205.22832210656983,223.0233557868603,2.9658389467150754,,7
ASTERDM,2026-09-02 14:15:00+05:30,0.731491453455692,0.731491453455692,761.0,745.9034217418142,791.1931565163717,7.548289129092921,,8
HAL,2026-09-02 14:15:00+05:30,0.7290612059548612,0.7290612059548612,4776.5,4714.564816433172,4900.370367133655,30.967591783413823,,9
GRASIM,2026-09-02 14:15:00+05:30,0.7110425880007541,0.7110425880007541,3290.1,3243.1855213594904,3383.9289572810194,23.457239320254864,,10
ADANIPORTS,2026-09-02 14:15:00+05:30,0.7071760211065644,0.7071760211065644,1670.4,1644.661095733257,1721.877808533486,12.869452133371476,,11
LT,2026-09-02 14:15:00+05:30,0.6986203265523083,0.6986203265523083,3994.0,3952.3798146692247,4077.24037066155,20.81009266538755,,12
KAYNES,2026-09-02 14:15:00+05:30,0.6837442268063781,0.6837442268063781,3580.0,3483.7811916824103,3772.43761663518,48.10940415879493,,13
NAVINFLUOR,2026-09-02 14:15:00+05:30,0.6807124140319046,0.6807124140319046,8539.0,8370.37423323949,8876.25153352102,84.31288338025485,,14
TVSMOTOR,2026-09-02 14:15:00+05:30,0.6753473670404819,0.6753473670404819,4197.0,4083.267197573762,4424.465604852476,56.86640121311894,,15
BAJFINANCE,2026-09-02 14:15:00+05:30,0.6730043528958412,0.6730043528958412,1054.2,1038.0156018359187,1086.5687963281625,8.092199082040647,,16
PINELABS,2026-09-02 14:15:00+05:30,0.6540764073413188,0.6540764073413188,162.06,157.65906338461045,170.8618732307791,2.200468307694775,,17
MUTHOOTFIN,2026-09-02 14:15:00+05:30,0.6417395395141811,0.6417395395141811,2925.9,2868.843029859186,3040.013940281628,28.528485070406965,,18
IFCI,2026-09-02 14:15:00+05:30,0.6356095252069123,0.6356095252069123,98.07,94.05626009037954,106.09747981924092,2.0068699548102296,,19
LAURUSLABS,2026-09-02 14:15:00+05:30,0.6256895620807597,0.6256895620807597,1858.5,1822.5934716037216,1930.3130567925568,17.953264198139205,,20
PFC,2026-09-02 14:15:00+05:30,0.6181052467452361,0.6181052467452361,346.7,342.3635452448653,355.37290951026944,2.1682273775673586,,21
POWERINDIA,2026-09-02 14:15:00+05:30,0.612695038529788,0.612695038529788,32185.0,31599.307570626224,33356.38485874755,292.84621468688783,,22
COALINDIA,2026-09-02 14:15:00+05:30,0.6113568145505122,0.6113568145505122,416.4,409.43797659804875,430.3240468039025,3.481011700975627,,23
EICHERMOT,2026-09-02 14:15:00+05:30,0.6047629168202087,0.6047629168202087,7694.0,7540.173866619801,8001.652266760399,76.91306669009964,,24
APOLLOHOSP,2026-09-02 14:15:00+05:30,0.6030644911147796,0.6030644911147796,8703.0,8615.436872479566,8878.126255040866,43.78156376021677,,25
TRENT,2026-09-02 14:15:00+05:30,0.5949213838048937,0.5949213838048937,2856.0,2813.428320199682,2941.1433596006364,21.28583990015907,,26
CHENNPETRO,2026-09-02 14:15:00+05:30,0.5926515427636345,0.5926515427636345,1413.8,1375.8425953347985,1489.7148093304027,18.978702332600697,,27
ADANIPOWER,2026-09-02 14:15:00+05:30,0.5918903442333477,0.5918903442333477,206.9,202.3111598284954,216.07768034300923,2.294420085752309,,28
IDEA,2026-09-02 14:15:00+05:30,0.5640131067449404,0.5640131067449404,14.53,14.157663716043482,15.274672567913035,0.18616814197825884,,29
TMPV,2026-09-02 14:15:00+05:30,0.5471605133266985,0.5471605133266985,312.0,307.2417509328304,321.5164981343392,2.3791245335847964,,30
HINDCOPPER,2026-09-02 14:15:00+05:30,0.545330210553747,0.545330210553747,521.1,509.818592048488,543.6628159030241,5.640703975756027,,31
KOTAKBANK,2026-09-02 14:15:00+05:30,0.5100938250807971,0.5100938250807971,423.35,417.92464665760014,434.20070668479985,2.7126766711999575,,32
BALRAMCHIN,2026-09-02 14:15:00+05:30,0.5062143964837525,0.5062143964837525,667.4,639.2946419254536,723.6107161490928,14.052679037273203,,33
SHRIRAMFIN,2026-09-02 14:15:00+05:30,0.5047042082355078,0.5047042082355078,1047.0,1026.0023188458704,1088.9953623082592,10.498840577064787,,34
NETWEB,2026-09-02 14:15:00+05:30,0.5027709596142832,0.5027709596142832,5102.5,4957.407737273789,5392.684525452422,72.5461313631055,,35
GVT&D,2026-09-02 14:15:00+05:30,0.5018411637778406,0.5018411637778406,4235.0,4140.687130000879,4423.625739998243,47.15643499956074,,36
