param_subsample,param_reg_lambda,param_num_leaves,param_n_estimators,param_min_child_samples,param_max_depth,param_learning_rate,param_colsample_bytree,mean_test_score,std_test_score,rank_test_score
0.8,1.0,63,400,20,6,0.05,0.7,0.8791027783932096,0.005025068601801738,1
1.0,0.1,31,400,5,5,0.05,0.8,0.8782513674889096,0.004768799738418065,2
0.7,5.0,31,200,20,5,0.08,0.8,0.8782389208183234,0.0041582111478167365,3
1.0,0.0,15,400,10,4,0.08,0.6,0.8779485383909562,0.004386017979843779,4
1.0,0.1,63,300,20,4,0.08,0.6,0.8778896027410183,0.003916900928441591,5
0.8,0.1,31,300,5,5,0.03,0.8,0.8767751320431281,0.0038459722726709913,6
0.6,0.1,31,100,20,5,0.08,0.8,0.8759804680435841,0.0037941689417414085,7
0.8,0.0,15,150,40,5,0.08,0.7,0.8758876470262094,0.0035007993269800045,8
1.0,0.0,31,400,40,3,0.1,0.7,0.8755832632318428,0.003499384142524543,9
0.8,1.0,63,200,5,4,0.08,1.0,0.8754582138465166,0.0036258573817682456,10
1.0,0.1,31,100,40,5,0.05,0.8,0.8716960385871022,0.003941083297310068,11
0.7,0.0,15,150,40,3,0.1,0.8,0.8690794799387204,0.0031131419990787276,12
1.0,1.0,31,150,20,3,0.08,0.8,0.8670276228065135,0.0033577107389971815,13
0.7,0.1,31,100,5,3,0.1,0.8,0.8648950406666382,0.003187568211742105,14
0.8,0.0,31,150,40,3,0.05,1.0,0.8598678860159064,0.003820562643994537,15
0.7,1.0,31,100,20,4,0.03,0.6,0.8538041922848159,0.004028930100431344,16
0.6,0.1,31,100,5,3,0.03,1.0,0.8458467845771516,0.005123773703923103,17
0.6,5.0,63,200,40,3,0.02,0.6,0.8441558699251206,0.0044617468175876225,18
1.0,5.0,31,100,20,3,0.03,0.6,0.8384501385215009,0.0044280855118336735,19
0.7,0.0,15,150,40,3,0.02,0.6,0.8379998456630983,0.004552343718222246,20
