symbol,isin,industry,company,series,instrument_token,exchange,asof_ist,adtv_20,passed,liq_reason
HDFCBANK,INE040A01034,Financial Services,HDFC Bank Ltd.,EQ,341249,NSE,2026-09-01T16:35:24.039402+05:30,19934156831.177498,True,
BSE,INE118H01025,Financial Services,BSE Ltd.,EQ,5013761,NSE,2026-09-01T16:35:24.039402+05:30,15898290598.280005,True,
RELIANCE,INE002A01018,Oil Gas & Consumable Fuels,Reliance Industries Ltd.,EQ,738561,NSE,2026-09-01T16:35:24.039402+05:30,14191658006.8,True,
ICICIBANK,INE090A01021,Financial Services,ICICI Bank Ltd.,EQ,1270529,NSE,2026-09-01T16:35:24.039402+05:30,13371024799.34,True,
BHARTIARTL,INE397D01024,Telecommunication,Bharti Airtel Ltd.,EQ,2714625,NSE,2026-09-01T16:35:24.039402+05:30,13120648910.81,True,
ETERNAL,INE758T01015,Consumer Services,Eternal Ltd.,EQ,1304833,NSE,2026-09-01T16:35:24.039402+05:30,12327682242.8625,True,
SBIN,INE062A01020,Financial Services,State Bank of India,EQ,779521,NSE,2026-09-01T16:35:24.039402+05:30,10419131127.105,True,
NETWEB,INE0NT901020,Information Technology,Netweb Technologies India Ltd.,EQ,4462849,NSE,2026-09-01T16:35:24.039402+05:30,10392278795.34,True,
HINDCOPPER,INE531E01026,Metals & Mining,Hindustan Copper Ltd.,EQ,4592385,NSE,2026-09-01T16:35:24.039402+05:30,9785297544.155,True,
INFY,INE009A01021,Information Technology,Infosys Ltd.,EQ,408065,NSE,2026-09-01T16:35:24.039402+05:30,9355090166.0,True,
LENSKART,INE956O01016,Consumer Services,Lenskart Solutions Ltd.,EQ,194458881,NSE,2026-09-01T16:35:24.039402+05:30,9240837281.3025,True,
GROWW,INE0HOQ01053,Financial Services,Billionbrains Garage Ventures Ltd.,EQ,194510337,NSE,2026-09-01T16:35:24.039402+05:30,9080257222.1215,True,
MCX,INE745G01043,Financial Services,Multi Commodity Exchange of India Ltd.,EQ,7982337,NSE,2026-09-01T16:35:24.039402+05:30,8534540344.390001,True,
ATHERENERG,INE0LEZ01016,Automobile and Auto Components,Ather Energy Ltd.,EQ,193957121,NSE,2026-09-01T16:35:24.039402+05:30,7908752690.865,True,
PAYTM,INE982J01020,Financial Services,One 97 Communications Ltd.,EQ,1716481,NSE,2026-09-01T16:35:24.039402+05:30,7837412356.835001,True,
KALYANKJIL,INE303R01014,Consumer Durables,Kalyan Jewellers India Ltd.,EQ,756481,NSE,2026-09-01T16:35:24.039402+05:30,7036465655.472501,True,
IDEA,INE669E01016,Telecommunication,Vodafone Idea Ltd.,EQ,3677697,NSE,2026-09-01T16:35:24.039402+05:30,6895992155.466499,True,
LICI,INE0J1Y01017,Financial Services,Life Insurance Corporation of India,EQ,2426881,NSE,2026-09-01T16:35:24.039402+05:30,6870514958.0825,True,
ADANIENSOL,INE931S01010,Power,Adani Energy Solutions Ltd.,EQ,2615553,NSE,2026-09-01T16:35:24.039402+05:30,6820668999.530001,True,
LAURUSLABS,INE947Q01028,Healthcare,Laurus Labs Ltd.,EQ,4923905,NSE,2026-09-01T16:35:24.039402+05:30,6639696252.25,True,
TCS,INE467B01029,Information Technology,Tata Consultancy Services Ltd.,EQ,2953217,NSE,2026-09-01T16:35:24.039402+05:30,6340441553.905,True,
M&M,INE101A01026,Automobile and Auto Components,Mahindra & Mahindra Ltd.,EQ,519937,NSE,2026-09-01T16:35:24.039402+05:30,6329845988.295,True,
WELCORP,INE191B01025,Capital Goods,Welspun Corp Ltd.,EQ,3026177,NSE,2026-09-01T16:35:24.039402+05:30,6294733448.570001,True,
AXISBANK,INE238A01034,Financial Services,Axis Bank Ltd.,EQ,1510401,NSE,2026-09-01T16:35:24.039402+05:30,6034357117.635,True,
